"username","password","email","image","bookmarks"
"giggoer1","strongpass123","test1@test.com","giggoer1","1,2,3,7,9"
"giggoer2","strongpass123","test2@test.com","giggoer2","1,5,7,10"
"giggoer3","strongpass123","test2@test.com","giggoer3","1,5,7,8,11"
"giggoer4","strongpass123","test2@test.com","giggoer4","1,5,4,3"
"giggoer5","strongpass123","test2@test.com","giggoer5","1,6,7,10,11"
"giggoer6","strongpass123","test2@test.com","giggoer6","1,5,7,10,6"
"giggoer7","strongpass123","test2@test.com","giggoer7","1,5,7,10,3"
"giggoer8","strongpass123","test2@test.com","giggoer8","1,2,3,4,5"
"giggoer9","strongpass123","test2@test.com","giggoer9","5,6,7,8"
"giggoer10","strongpass123","test2@test.com","giggoer10","9,5,6,7"
"giggoer11","strongpass123","test2@test.com","giggoer11","11,10,9,8,7,6"
"giggoer12","strongpass123","test2@test.com","giggoer12","5,6,8"
"giggoer13","strongpass123","test2@test.com","giggoer13","3,5,8,11"
"giggoer14","strongpass123","test2@test.com","giggoer14","1,5,7,10"
"giggoer15","strongpass123","test2@test.com","giggoer15","1,2,3,4,5,6,7,8,9,10,11"
"giggoer16","strongpass123","test2@test.com","giggoer16","1,2,3,4,5"
"giggoer17","strongpass123","test2@test.com","giggoer14","1,5,7,10"
"giggoer18","strongpass123","test2@test.com","giggoer12","1,5,7,10"
"giggoer19","strongpass123","test2@test.com","giggoer9","9,8,7,4,3,2"
"giggoer20","strongpass123","test2@test.com","giggoer2","1,5,7,10"
"giggoer21","strongpass123","test2@test.com","giggoer12","1,5,7,10"
"giggoer22","strongpass123","test2@test.com","giggoer7","1,5,7,10"
